"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/01/2022";"0000";"26,8";"27,1";"26,6";"51,0";"51,0";"47,0";"15,8";"15,8";"14,9";"944,8";"944,8";"944,0";"1,3";"293,0";"3,6";"";"0,0"
"01/01/2022";"0100";"24,4";"26,8";"24,3";"62,0";"63,0";"51,0";"16,6";"16,7";"15,9";"945,6";"945,6";"944,8";"1,5";"101,0";"4,5";"";"0,0"
"01/01/2022";"0200";"23,2";"24,4";"23,2";"67,0";"67,0";"62,0";"16,8";"17,0";"16,3";"945,8";"946,0";"945,6";"3,6";"213,0";"6,9";"";"0,0"
"01/01/2022";"0300";"23,2";"23,3";"22,9";"61,0";"67,0";"60,0";"15,3";"16,7";"14,8";"945,3";"945,8";"945,2";"2,3";"227,0";"6,9";"";"0,0"
"01/01/2022";"0400";"21,8";"23,2";"21,8";"75,0";"75,0";"60,0";"17,2";"17,2";"14,9";"944,9";"945,3";"944,9";"2,9";"212,0";"6,4";"";"0,0"
"01/01/2022";"0500";"22,1";"22,1";"21,6";"71,0";"79,0";"71,0";"16,5";"17,7";"16,5";"944,4";"944,8";"944,4";"2,3";"208,0";"6,8";"";"0,0"
"01/01/2022";"0600";"21,5";"22,2";"21,5";"73,0";"73,0";"69,0";"16,5";"16,5";"16,1";"944,3";"944,4";"944,3";"2,4";"205,0";"6,1";"";"0,0"
"01/01/2022";"0700";"21,4";"21,5";"21,3";"79,0";"79,0";"73,0";"17,6";"17,6";"16,5";"944,5";"944,5";"944,2";"2,4";"220,0";"5,0";"";"0,0"
"01/01/2022";"0800";"21,4";"21,5";"21,4";"81,0";"81,0";"79,0";"17,9";"17,9";"17,6";"945,0";"945,0";"944,5";"2,8";"215,0";"6,0";"";"0,0"
"01/01/2022";"0900";"21,6";"21,7";"21,2";"79,0";"81,0";"79,0";"17,8";"18,1";"17,8";"945,9";"945,9";"945,0";"1,1";"171,0";"4,9";"44,30";"0,0"
"01/01/2022";"1000";"22,9";"23,1";"21,5";"72,0";"79,0";"72,0";"17,7";"18,2";"17,6";"946,6";"946,6";"945,9";"2,3";"200,0";"4,7";"731,50";"0,0"
"01/01/2022";"1100";"24,6";"25,1";"22,9";"66,0";"73,0";"65,0";"17,9";"18,3";"17,5";"947,3";"947,3";"946,6";"2,6";"192,0";"5,1";"1678,10";"0,0"
"01/01/2022";"1200";"26,4";"27,0";"24,5";"60,0";"67,0";"60,0";"18,1";"19,0";"17,8";"947,6";"947,6";"947,3";"1,8";"178,0";"5,3";"2519,40";"0,0"
"01/01/2022";"1300";"27,9";"28,6";"25,9";"55,0";"63,0";"54,0";"18,1";"19,8";"17,3";"947,7";"947,8";"947,6";"2,0";"186,0";"6,3";"3220,80";"0,0"
"01/01/2022";"1400";"29,0";"29,6";"27,5";"52,0";"57,0";"49,0";"18,1";"19,3";"17,2";"947,2";"947,7";"947,2";"2,2";"115,0";"6,2";"3426,60";"0,0"
"01/01/2022";"1500";"29,0";"30,8";"28,3";"52,0";"54,0";"45,0";"18,1";"18,8";"16,5";"946,7";"947,3";"946,7";"4,6";"132,0";"11,8";"3231,50";"0,0"
"01/01/2022";"1600";"29,4";"30,3";"27,8";"44,0";"52,0";"42,0";"15,8";"18,2";"15,6";"946,2";"946,7";"946,2";"4,1";"135,0";"11,8";"4106,20";"0,0"
"01/01/2022";"1700";"30,1";"30,4";"29,0";"39,0";"50,0";"39,0";"14,6";"17,5";"14,6";"945,1";"946,2";"945,1";"3,3";"128,0";"9,0";"3801,10";"0,0"
"01/01/2022";"1800";"30,5";"31,4";"30,0";"37,0";"42,0";"34,0";"14,0";"16,2";"13,2";"944,4";"945,1";"944,4";"2,5";"145,0";"6,7";"3054,30";"0,0"
"01/01/2022";"1900";"31,6";"31,9";"30,0";"34,0";"37,0";"33,0";"13,7";"14,5";"12,4";"943,9";"944,4";"943,9";"1,9";"145,0";"5,6";"1765,30";"0,0"
"01/01/2022";"2000";"31,0";"31,7";"30,8";"33,0";"36,0";"32,0";"12,9";"14,5";"12,7";"943,4";"943,9";"943,3";"1,9";"174,0";"5,8";"1788,00";"0,0"
"01/01/2022";"2100";"30,5";"31,3";"30,5";"37,0";"38,0";"33,0";"14,0";"15,0";"12,8";"943,7";"943,7";"943,3";"1,4";"132,0";"4,2";"889,00";"0,0"
"01/01/2022";"2200";"29,3";"30,5";"29,3";"44,0";"44,0";"37,0";"15,6";"15,6";"14,0";"944,5";"944,5";"943,7";"1,0";"151,0";"3,4";"98,40";"0,0"
"01/01/2022";"2300";"28,5";"29,4";"28,5";"50,0";"50,0";"43,0";"17,1";"17,1";"15,6";"945,3";"945,3";"944,5";"1,6";"184,0";"4,4";"";"0,0"
"02/01/2022";"0000";"27,4";"28,5";"27,4";"56,0";"56,0";"50,0";"17,9";"18,0";"17,1";"945,9";"945,9";"945,3";"2,5";"184,0";"5,2";"";"0,0"
"02/01/2022";"0100";"26,6";"27,4";"26,6";"59,0";"59,0";"56,0";"18,0";"18,0";"17,8";"946,7";"946,7";"945,9";"2,3";"193,0";"5,1";"";"0,0"
"02/01/2022";"0200";"25,8";"26,6";"25,8";"63,0";"63,0";"59,0";"18,2";"18,2";"18,0";"947,1";"947,2";"946,7";"2,3";"209,0";"5,6";"";"0,0"
